metric_group,metric,value,baseline_value,same_direction
ols_diagnostic,breusch_pagan_lm,715.5873014586427,,
ols_diagnostic,breusch_pagan_pvalue,8.843225376244054e-143,,
ols_diagnostic,ols_r_squared,0.07646081117243253,,
logit_diagnostic,mcfadden_pseudo_r2,0.04075909800463895,,
logit_diagnostic,roc_auc,0.6545805475235053,,
vif,z_n_tokens_title,1.009855642086194,,
vif,z_n_tokens_content,1.2152661487430352,,
vif,z_num_imgs,1.1748935447059188,,
vif,z_num_videos,1.0460373705124042,,
vif,is_weekend,1.0062472415300252,,
vif,z_global_sentiment_polarity,2.9307496400476163,,
vif,z_global_subjectivity,2.027198556710121,,
vif,z_rate_positive_words,2.9825156679716454,,
vif,z_rate_negative_words,2.7154560096753233,,
robustness,z_n_tokens_title,0.0021441219402335947,0.00918538397299664,True
robustness,z_n_tokens_content,0.031190032222669736,0.030939033315934016,True
robustness,z_num_imgs,0.04073973545367045,0.045987408827663785,True
robustness,z_num_videos,0.019045077489722763,0.019173842506229288,True
robustness,is_weekend,0.2924570615400623,0.28424028739435947,True
